Country,Year,Normalized_GDP,Normalized_Population,Normalized_Per_Capita_GDP,participants,sport_count,event_count,Gold,Silver,Bronze,Total,Host,Is_host,Coach_effect
Australia,1984,0.0155715911325076,0.0032671810377533,0.369471096246433,337,22,137,7,14,31,52,United States,0,0
Brazil,1984,0.0151542822608576,0.0278325796387323,0.0343975693987864,197,17,82,1,33,2,36,United States,0,1
Central African Republic,1984,4.728425462393499e-05,0.0005372830190371,0.006718445860767,3,2,3,0,0,0,0,United States,0,0
Canada,1984,0.0287059955088196,0.0053711665422481,0.3882147065902991,572,23,193,19,36,32,87,United States,0,0
Switzerland,1984,0.0088053120891875,0.0013499622233433,0.4739761761465495,245,18,91,0,9,4,13,United States,0,0
Spain,1984,0.0138375661296727,0.0080407481369588,0.1234528700796414,257,23,104,2,14,3,19,United States,0,1
Finland,1984,0.0042512121854883,0.0010226328983109,0.3013112365994607,107,15,76,4,2,6,12,United States,0,0
France,1984,0.0422526382729023,0.0118285366863423,0.2619596120688205,354,21,139,20,16,31,67,United States,0,0
Greece,1984,0.0038070340180623,0.0020746606901896,0.1357910396763369,73,11,49,0,1,1,2,United States,0,1
Italy,1984,0.0353200795518909,0.0118691644044676,0.2143959972218079,368,23,151,29,6,28,63,United States,0,1
Japan,1984,0.108312753380903,0.0251939351010027,0.304386776029478,365,22,147,10,8,31,49,United States,0,1
Mexico,1984,0.0148235740345105,0.0154214125657281,0.0831707993012962,155,18,87,2,3,1,6,United States,0,1
New Zealand,1984,0.0017397115428265,0.0006754461736044,0.2041350771282999,162,18,76,16,1,6,23,United States,0,0
United States,1984,0.324958432767352,0.0494787075894688,0.4838940108258798,693,25,217,186,116,50,352,United States,1,0
Australia,1988,0.0120949348429209,0.0032290668953871,0.2650998039931437,339,24,145,18,6,11,35,South Korea,0,1
Brazil,1988,0.0157696747897744,0.0281050213058921,0.0278410669521051,233,21,106,1,17,5,23,South Korea,0,1
Central African Republic,1988,5.965808093315184e-05,0.000528701071478,0.0062402914363811,15,3,4,0,0,0,0,South Korea,0,1
Canada,1988,0.0260937465373951,0.005234004536013,0.2893545278562257,503,23,193,4,5,14,23,South Korea,0,0
Switzerland,1988,0.0110384362204237,0.0012868212783845,0.499006775035439,151,17,83,0,6,2,8,South Korea,0,0
Spain,1988,0.0192542757265365,0.007574208148043,0.1470695244400141,317,24,130,1,2,2,5,South Korea,0,1
Finland,1988,0.0055816362062047,0.0009649815091624,0.336057884899669,101,15,66,1,1,2,4,South Korea,0,1
France,1988,0.0517863379171823,0.0112542286644931,0.2699324114584303,413,23,167,12,4,13,29,South Korea,0,0
Greece,1988,0.0038478722742075,0.0019597723373551,0.1139458845632507,72,12,43,0,0,1,1,South Korea,0,1
Italy,1988,0.0457831508365079,0.011064885679488,0.2394040942593313,374,23,140,11,10,8,29,South Korea,0,1
Japan,1988,0.1601461037626269,0.0239526468135998,0.3814637395416094,408,23,165,4,3,13,20,South Korea,0,1
Mexico,1988,0.0092999784967899,0.0155725132135235,0.0411978879102323,144,17,82,0,0,2,2,South Korea,0,1
New Zealand,1988,0.002309555018979,0.0006399806103628,0.212184281678552,112,16,58,4,4,16,24,South Korea,0,1
United States,1988,0.2682922130001272,0.0477785666470614,0.329401595207759,715,27,230,87,66,54,207,South Korea,0,0
Australia,1992,0.0127433798372774,0.0031895618824232,0.2135003218886901,390,25,153,14,27,16,57,Spain,0,1
Brazil,1992,0.0128478285401931,0.0281655658184866,0.025599135016663,233,23,107,13,1,0,14,Spain,0,0
Central African Republic,1992,5.001985992255345e-05,0.0005568247225211,0.0044080398873121,21,3,16,0,0,0,0,Spain,0,1
Canada,1992,0.0232729213308382,0.0051783149290892,0.2397704805803353,441,24,198,27,5,12,44,Spain,0,1
Switzerland,1992,0.0109573735951445,0.0012536392042639,0.466915362064719,171,17,80,1,0,0,1,Spain,0,0
Germany,1992,0.0838583777499238,0.014718617567778,0.3042688292617536,647,26,236,81,57,60,198,Spain,0,1
Spain,1992,0.0246858573277612,0.0071476767448981,0.1837421117272649,537,29,195,48,19,2,69,Spain,1,1
Finland,1992,0.004402091540348,0.0009189060419876,0.2553071731282764,130,16,85,1,4,2,7,Spain,0,0
France,1992,0.0544184906273867,0.0107424340685662,0.2738046014057158,476,25,194,9,5,41,55,Spain,0,0
Greece,1992,0.0044831597124648,0.0018969883116537,0.1262366357687103,76,17,53,2,0,0,2,Spain,0,0
Italy,1992,0.0518156931786507,0.0103682412632404,0.2657733436914696,431,26,169,21,10,14,45,Spain,0,1
Japan,1992,0.1558923440967349,0.0227156018516177,0.3598183094980292,374,24,162,3,8,36,47,Spain,0,0
Mexico,1992,0.0142172148717084,0.0157082281695732,0.0576708793917252,140,18,71,0,1,0,1,Spain,0,0
New Zealand,1992,0.0016258720340892,0.00064316013929,0.1356097107789372,175,17,87,1,9,5,15,Spain,0,0
United States,1992,0.2553528088083414,0.0468321306695063,0.2924790796742705,728,28,247,87,50,85,222,Spain,0,1
South Africa,1992,0.0057500163461047,0.0077475955056315,0.0382158166139968,141,19,87,0,3,0,3,Spain,0,0
Australia,1996,0.0125893829254693,0.003128397703697,0.2460066648710231,542,26,210,32,16,82,130,United States,0,1
Brazil,1996,0.0266819443718068,0.0281992680237467,0.0519680885309551,243,17,91,3,13,43,59,United States,0,1
Central African Republic,1996,2.662309075312208e-05,0.000588503398885,0.0020821346537639,5,1,5,0,0,0,0,United States,0,0
Canada,1996,0.0197839059825277,0.0050837854458966,0.2190327677144244,396,25,187,8,30,10,48,United States,0,0
Switzerland,1996,0.0106676928232817,0.0012129463797601,0.4959352053182016,172,17,83,5,6,0,11,United States,0,1
Germany,1996,0.0786531836268187,0.0140668111618469,0.3162430602587674,618,26,232,42,35,45,122,United States,0,0
Spain,1996,0.0201492712436363,0.0068492552826117,0.1648659804198429,380,21,156,23,21,22,66,United States,0,0
Finland,1996,0.0041369966779721,0.0008785124099097,0.2652645025418028,105,15,74,1,2,1,4,United States,0,1
France,1996,0.0501692538960197,0.0102608985301089,0.2778434975173929,445,25,181,19,10,20,49,United States,0,0
Greece,1996,0.0044668390089446,0.0018203978258884,0.1383457313696536,180,18,94,4,4,0,8,United States,0,1
Italy,1996,0.0412536888068182,0.0097638318634136,0.2371947640273175,460,27,172,19,24,28,71,United States,0,0
Japan,1996,0.1544943256606545,0.0215964592938393,0.4034821097553686,432,27,164,3,26,13,42,United States,0,0
Mexico,1996,0.0135564099705885,0.0158766317637958,0.0476001857631409,111,19,57,0,0,1,1,United States,0,1
New Zealand,1996,0.0021960650503114,0.0006393457599177,0.1914348131868612,129,15,81,3,2,4,9,United States,0,1
United States,1996,0.2533349959236182,0.0462653133538426,0.3089728943239178,827,30,261,157,46,52,255,United States,1,1
South Africa,1996,0.0051174232735932,0.0077480223713546,0.0366094537420291,111,14,62,3,1,1,5,United States,0,1
Australia,2000,0.0122800304427615,0.0030866022322066,0.2582518222632495,762,33,265,58,69,54,181,Australia,1,0
Brazil,2000,0.0193477196908588,0.0282395748106607,0.0435102440172002,228,23,94,0,8,34,42,Australia,0,1
Central African Republic,2000,1.4623379662550514e-05,0.0006205695222638,0.0017107505608425,3,2,3,0,0,0,0,Australia,0,1
Canada,2000,0.0219861405454488,0.0049783847604983,0.2908455946399767,410,28,173,4,4,23,31,Australia,0,0
Switzerland,2000,0.0082348357841798,0.0011643705319642,0.4666370617494164,138,19,82,1,11,2,14,Australia,0,0
Germany,2000,0.0580868563296735,0.013340413467979,0.2854792940522033,551,28,230,31,23,62,116,Australia,0,0
Spain,2000,0.0176539022387853,0.0065821390638136,0.1750077860156482,431,27,165,3,19,20,42,Australia,0,1
Finland,2000,0.0037083010052914,0.0008384890578835,0.2909963365436646,88,16,64,3,1,1,5,Australia,0,0
France,2000,0.0401866513893027,0.0098848344395945,0.2691156821045266,466,28,195,22,30,12,64,Australia,0,0
Greece,2000,0.0037021572433238,0.0017521068677806,0.1422984178126249,175,23,114,4,6,8,18,Australia,0,0
Italy,2000,0.0339454162751144,0.009239486583948,0.240359005039597,453,29,174,22,14,29,65,Australia,0,1
Japan,2000,0.1467395692829264,0.0205835805165522,0.470315292236201,347,27,152,5,31,8,44,Australia,0,0
Mexico,2000,0.021906035341333,0.0160042200607461,0.0899173742988167,98,19,67,1,2,3,6,Australia,0,0
New Zealand,2000,0.0015418948070415,0.0006245105302993,0.1686474183580538,177,18,95,1,0,3,4,Australia,0,1
United States,2000,0.3027745823620339,0.0457900970219604,0.4356233009171181,748,30,261,128,61,51,240,Australia,0,0
South Africa,2000,0.0044699207280521,0.0076519197228373,0.0376699799926456,161,17,68,0,2,3,5,Australia,0,1
Australia,2004,0.01391041562248,0.0030685477842035,0.2713647026086621,585,32,215,49,77,31,157,Greece,0,0
Brazil,2004,0.0151477489438301,0.0281343135593104,0.0281045035052289,310,25,131,16,17,3,36,Greece,0,1
Central African Republic,2004,1.7337491146862984e-05,0.0006442717777618,0.0018119483502781,4,3,4,0,0,0,0,Greece,0,1
Canada,2004,0.0232427930849246,0.004917738134432,0.2555490357340618,383,28,149,3,10,4,17,Greece,0,0
Switzerland,2004,0.0091370482631183,0.0011366462580707,0.4351970133938474,134,19,82,1,2,2,5,Greece,0,0
Germany,2004,0.0645928604750725,0.0127077327935349,0.274640919676558,576,28,224,41,43,63,147,Greece,0,0
Spain,2004,0.0242199034014788,0.0066093653672319,0.1971365245387388,415,27,153,4,15,9,28,Greece,0,1
Finland,2004,0.0044608936408602,0.0008037369016841,0.2996219669997381,67,12,53,0,2,0,2,Greece,0,1
France,2004,0.0477747398596101,0.0096567794550202,0.270549104202997,453,27,191,21,10,22,53,Greece,0,0
Greece,2004,0.0053107576486894,0.001685810934215,0.1716398445839906,495,33,214,8,18,5,31,Greece,1,0
Italy,2004,0.0410482164055005,0.0088832453198272,0.2475326994249789,470,30,174,24,41,39,104,Greece,0,1
Japan,2004,0.1108164750792441,0.0196763771606702,0.3045719836831843,402,31,166,21,20,52,93,Greece,0,1
Mexico,2004,0.0185490622548397,0.0160773864264006,0.0620450979985325,137,20,68,0,3,1,4,Greece,0,1
New Zealand,2004,0.0023419413588806,0.0006280493519811,0.1992098250277877,184,18,84,4,2,0,6,Greece,0,0
United States,2004,0.2767050733005894,0.0450966805503129,0.33035554862395,706,30,249,115,75,69,259,Greece,0,1
South Africa,2004,0.0057824840409675,0.0075442004037706,0.0412101913366674,128,20,68,4,3,3,10,Greece,0,1
Australia,2008,0.0164513102415857,0.003109636851863,0.2442532626140542,559,31,216,31,42,76,149,China,0,0
Brazil,2008,0.0264237867773788,0.0278702743999976,0.0423824246237094,330,27,143,14,32,28,74,China,0,1
Central African Republic,2008,1.965259277426804e-05,0.0006660169384144,0.0012823246418818,3,2,3,0,0,0,0,China,0,0
Canada,2008,0.0241967172616793,0.0048662825056144,0.2292402762629888,446,30,184,11,13,11,35,China,0,0
Switzerland,2008,0.0088312002381309,0.0011182332120867,0.3647434680561771,112,20,74,3,1,7,11,China,0,0
Germany,2008,0.0593603164323587,0.0120203011125187,0.2251982942386938,547,29,204,39,16,41,96,China,0,0
Spain,2008,0.0254925546581943,0.0067266904790987,0.1731494413990232,347,29,145,7,45,16,68,China,0,0
Finland,2008,0.004442079103771,0.0007764710887657,0.2627617028790149,70,14,55,1,2,2,5,China,0,0
France,2008,0.0456117825053495,0.0094237166625142,0.2242509404586368,441,25,203,25,24,28,77,China,0,1
Greece,2008,0.0054618827144387,0.001620444953759,0.1566665845098884,172,22,104,0,3,4,7,China,0,0
Italy,2008,0.0376729273667577,0.0086113757745461,0.1984996990859645,455,29,189,8,14,20,42,China,0,1
Japan,2008,0.0795919343628637,0.0187482808809979,0.1953758184177295,446,31,173,23,15,13,51,China,0,1
Mexico,2008,0.0180949177850543,0.0161584706906285,0.0511877605880889,103,23,73,2,0,2,4,China,0,1
New Zealand,2008,0.0020638363525199,0.0006222133097503,0.1529168296514065,201,17,78,4,2,9,15,China,0,1
United States,2008,0.2302230163639687,0.0445210329936089,0.2369550940332644,744,31,253,121,110,78,309,China,0,1
South Africa,2008,0.0049164556663928,0.0074822399707027,0.0298264149883457,179,20,89,0,1,0,1,China,0,0
Australia,2012,0.0204318934634626,0.0031666404618988,0.4223330185230116,506,28,206,18,37,59,114,United Kingdom,0,1
Brazil,2012,0.032553918952542,0.0274346659821502,0.0731522536910163,294,26,135,14,32,9,55,United Kingdom,0,0
Central African Republic,2012,2.351350535460612e-05,0.0006411239273117,0.0017443999549417,6,4,6,0,0,0,0,United Kingdom,0,1
Canada,2012,0.0241415476405935,0.0048361295482816,0.3175072125688364,354,28,179,1,21,33,55,United Kingdom,0,1
Switzerland,2012,0.0090573730658368,0.0011129891009689,0.5180030204221293,122,19,70,2,2,0,4,United Kingdom,0,0
Germany,2012,0.0475155127312448,0.0112064839375026,0.2602914612779823,494,26,209,43,27,22,92,United Kingdom,0,1
Spain,2012,0.0175715868279551,0.006516729581461,0.1700075590512259,331,27,133,5,33,25,63,United Kingdom,0,0
Finland,2012,0.0033909568860081,0.0007530448720521,0.2872512177192677,69,14,61,0,1,4,5,United Kingdom,0,1
France,2012,0.0354306049185567,0.0091484344644329,0.247525818611362,422,28,187,30,28,20,78,United Kingdom,0,1
Greece,2012,0.0031452405101251,0.0015377706446555,0.1321427371559926,115,20,76,0,0,3,3,United Kingdom,0,1
Italy,2012,0.027702202746659,0.0082958554092862,0.2083681732769658,374,28,167,16,22,30,68,United Kingdom,0,0
Japan,2012,0.0828428226250263,0.017784584881673,0.295402311547378,395,29,177,7,42,33,82,United Kingdom,0,0
Mexico,2012,0.0165692774740144,0.0162780235529211,0.064168303444551,119,23,75,16,5,3,24,United Kingdom,0,0
New Zealand,2012,0.0023179522281364,0.000612869540743,0.240308857055951,204,16,87,9,3,15,27,United Kingdom,0,0
United States,2012,0.214691677918493,0.0437396704758627,0.3091494353833987,669,30,240,139,55,44,238,United Kingdom,0,1
South Africa,2012,0.0057284194407608,0.0074935553045554,0.0480194409098971,145,17,65,6,2,1,9,United Kingdom,0,1
Australia,2016,0.0157235673895729,0.0032117868315064,0.3090670700244018,510,30,192,23,34,25,82,Brazil,0,1
Brazil,2016,0.0234007028650308,0.0269916781822705,0.0483378170620091,571,33,219,34,6,6,46,Brazil,1,1
Central African Republic,2016,1.317719570834978e-05,0.0006246563394783,0.0005941798210718,6,4,6,0,0,0,0,Brazil,0,1
Canada,2016,0.0199105624782089,0.0047950871384391,0.2416261184202661,397,30,173,4,4,61,69,Brazil,0,0
Switzerland,2016,0.0089578187790415,0.0011107649893167,0.4705561089913747,148,16,79,6,3,2,11,Brazil,0,0
Germany,2016,0.0461132118918463,0.0109367873201952,0.2404685362548892,528,29,215,47,43,67,157,Brazil,0,0
Spain,2016,0.0161952643607915,0.0061729501800791,0.1508777601616747,353,28,143,7,19,17,43,Brazil,0,1
Finland,2016,0.0031024531454655,0.0007284803033712,0.2500568886123743,67,17,55,0,0,1,1,Brazil,0,0
France,2016,0.0321973689905311,0.0088614018839305,0.2129124271035223,504,32,200,20,55,21,96,Brazil,0,0
Greece,2016,0.0025068868286541,0.0014299028044744,0.101633345618802,104,16,65,3,1,3,7,Brazil,0,0
Italy,2016,0.0245925916740082,0.0080515996716421,0.1777492853246249,395,26,170,8,38,24,70,Brazil,0,0
Japan,2016,0.0652248921049288,0.016877845606323,0.2248650831467976,436,32,186,17,13,34,64,Brazil,0,0
Mexico,2016,0.0144900889360906,0.0162369953637921,0.05105007610886,139,27,80,0,3,2,5,Brazil,0,1
New Zealand,2016,0.0024521423404798,0.0006247143854742,0.2309110821669663,232,20,100,6,25,5,36,Brazil,0,1
United States,2016,0.2451583822409534,0.042911641458989,0.3286974392309759,699,32,240,137,52,67,256,Brazil,0,0
South Africa,2016,0.0042081379640146,0.0076042407753201,0.0314093294731902,155,15,70,2,7,14,23,Brazil,0,0
Australia,2020,0.0154793365688269,0.0032635476056338,0.3057208892101234,638,41,193,36,28,67,131,Japan,0,1
Brazil,2020,0.0172015419113149,0.0265589400548787,0.0364394598077085,416,33,142,29,17,9,55,Japan,0,1
Central African Republic,2020,1.699596049902771e-05,0.0006385115861582,0.0008375846254923,2,2,2,0,0,0,0,Japan,0,1
Canada,2020,0.0192953564905334,0.0048393097856641,0.2370459619133129,509,40,182,36,11,38,85,Japan,0,0
Switzerland,2020,0.0086416916325118,0.0010982213592491,0.469731847650029,196,25,96,3,5,7,15,Japan,0,1
Germany,2020,0.0459325211262825,0.0105841539065549,0.2544388897313227,597,37,206,21,26,34,81,Japan,0,1
Spain,2020,0.0150289046637469,0.0060278108558218,0.1465141510524112,429,36,146,4,44,22,70,Japan,0,1
Finland,2020,0.0031381086978538,0.0007025272151003,0.2682394947912341,49,11,37,0,0,2,2,Japan,0,0
France,2020,0.030865148305589,0.0086035649668648,0.2159026490070176,538,41,194,65,42,34,141,Japan,0,1
Greece,2020,0.0022211888500729,0.0013604920220301,0.0968269860729617,100,20,58,2,13,1,16,Japan,0,0
Italy,2020,0.0222313842849713,0.0075645978581614,0.1734240052290371,524,39,198,22,17,37,76,Japan,0,1
Japan,2020,0.0589388444118495,0.0160703332120479,0.2196317261328627,787,46,222,68,41,22,131,Japan,1,1
Mexico,2020,0.013061602799261,0.016138821654856,0.0472590052205417,196,31,87,0,0,27,27,Japan,0,0
New Zealand,2020,0.0024699583218534,0.0006466036127692,0.2287164546112846,279,26,90,29,28,8,65,Japan,0,0
United States,2020,0.2489820468261634,0.0421984618250111,0.346711356432226,856,44,245,113,110,75,298,Japan,0,1
South Africa,2020,0.0039307079406136,0.0077076110504212,0.030016400625541,211,23,73,1,2,0,3,Japan,0,0
