Country,Year,Normalized_GDP,Normalized_Population,Normalized_Per_Capita_GDP,participants,sport_count,event_count,Gold_Medals,Silver_Medals,Bronze_Medals,Total_Medals
Ireland,1972,0.0016423139014178,0.0007905086702653,0.1311682364078983,84.0,12.0,54.0,0.0,0.0,0.0,0.0
Iceland,1972,0.0002130683268896,5.305729243481585e-05,0.2541123153666368,30.0,4.0,16.0,0.0,0.0,0.0,0.0
Israel,1972,0.0023957661697772,0.0008194959545639,0.1686670956443952,17.0,7.0,14.0,0.0,0.0,0.0,0.0
Italy,1972,0.0379778577514533,0.0141808593111409,0.1692464970012439,345.0,19.0,123.0,9.0,3.0,13.0,25.0
Jamaica,1972,0.000483215367505,0.0005022506654653,0.0741637827571555,51.0,6.0,27.0,0.0,0.0,1.0,1.0
Japan,1972,0.0847650726755584,0.0279525329174691,0.1851837781988657,293.0,21.0,113.0,29.0,19.0,8.0,56.0
Kenya,1972,0.0005437757388881,0.0031817861967036,0.0146000187930855,69.0,4.0,29.0,5.0,3.0,4.0,12.0
Kuwait,1972,0.0011551015051811,0.0002385380967751,0.3088247002507542,4.0,2.0,4.0,0.0,0.0,0.0,0.0
Liberia,1972,9.004597244299695e-05,0.0004008350719451,0.0118105690109586,5.0,1.0,5.0,0.0,0.0,0.0,0.0
Sri Lanka,1972,0.0006603027965427,0.0033390829631299,0.0127419399679736,6.0,2.0,6.0,0.0,0.0,0.0,0.0
Lesotho,1972,1.5123189666146228e-05,0.0002838409320679,0.0020431229833122,2.0,1.0,2.0,0.0,0.0,0.0,0.0
Luxembourg,1972,0.0004901421218118,8.890685664119639e-05,0.3490831459319809,15.0,5.0,8.0,0.0,0.0,0.0,0.0
Morocco,1972,0.0013177853257847,0.0041515841542914,0.0205630462449314,39.0,5.0,19.0,0.0,0.0,0.0,0.0
Madagascar,1972,0.0003440175665417,0.0018434780966734,0.008589084221716,13.0,2.0,10.0,0.0,0.0,0.0,0.0
Mexico,1972,0.0117861066972737,0.0140892743580313,0.0690185321057451,281.0,20.0,112.0,0.0,1.0,0.0,1.0
Myanmar,1972,0.0001667767760423,0.007412459867734,0.0024973783642527,19.0,4.0,7.0,0.0,0.0,0.0,0.0
Malaysia,1972,0.0013097577556218,0.0027829730628166,0.0266989410008615,57.0,6.0,20.0,0.0,0.0,0.0,0.0
Niger,1972,0.0001877955494561,0.0012776710826213,0.0069232532005621,4.0,1.0,4.0,0.0,0.0,1.0,1.0
Nigeria,1972,0.003196249642938,0.0152815162757445,0.0424565701877027,36.0,2.0,24.0,0.0,0.0,1.0,1.0
Nicaragua,1972,0.0002232214964815,0.0006696899822618,0.0286173844588546,10.0,3.0,10.0,0.0,0.0,0.0,0.0
Netherlands,1972,0.0142872487393093,0.0034745363829885,0.2600110239482638,199.0,16.0,72.0,3.0,1.0,2.0,6.0
Norway,1972,0.0045226500149754,0.001024220508082,0.27973991068166,161.0,15.0,70.0,2.0,2.0,4.0,8.0
Nepal,1972,0.000261187953301,0.0033859982894602,0.0028086260353911,2.0,1.0,1.0,0.0,0.0,0.0,0.0
New Zealand,1972,0.0024900063522214,0.0007558360706477,0.2087487753218175,112.0,14.0,63.0,9.0,4.0,1.0,14.0
Pakistan,1972,0.0024502694247325,0.0165806489021066,0.0052265676859629,26.0,5.0,12.0,0.0,15.0,0.0,15.0
Panama,1972,0.0004305853566554,0.0004157141680412,0.0545628970243215,8.0,4.0,8.0,0.0,0.0,0.0,0.0
Peru,1972,0.0023914125461062,0.0037044406243072,0.029103765005976,31.0,7.0,25.0,0.0,0.0,0.0,0.0
Philippines,1972,0.0023596892370649,0.0102760426171517,0.0115141354511165,79.0,11.0,47.0,0.0,0.0,0.0,0.0
Puerto Rico,1972,0.001645141764736,0.0007332398109916,0.1422095319896022,60.0,10.0,37.0,0.0,0.0,0.0,0.0
Portugal,1972,0.0029261538065893,0.0022492823428428,0.0783165550238724,41.0,8.0,28.0,0.0,0.0,0.0,0.0
Paraguay,1972,0.0001946464479177,0.0006504702261579,0.0191321743408976,3.0,2.0,3.0,0.0,0.0,0.0,0.0
Saudi Arabia,1972,0.0025152957008584,0.0010171055185163,0.0889113228385142,14.0,1.0,11.0,0.0,0.0,0.0,0.0
Senegal,1972,0.000416874545408,0.0012351058048929,0.0180648366847664,40.0,5.0,23.0,0.0,0.0,0.0,0.0
Singapore,1972,0.000704002578882,0.0005598491687097,0.0855550924083455,12.0,3.0,12.0,0.0,0.0,0.0,0.0
Somalia,1972,0.0001108610878325,0.0010258979368954,0.0040915905396824,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Suriname,1972,7.539768878155882e-05,0.0001021585964258,0.0651568040764188,3.0,2.0,3.0,0.0,0.0,0.0,0.0
Sweden,1972,0.0127471452099354,0.0021167649449962,0.3834171635108651,186.0,18.0,90.0,4.0,10.0,8.0,22.0
Chad,1972,0.0001467444274109,0.0010138534138361,0.003519128724202,5.0,2.0,4.0,0.0,0.0,0.0,0.0
Togo,1972,0.0001176858868709,0.0006205083536323,0.0078662443365193,7.0,3.0,5.0,0.0,0.0,0.0,0.0
Thailand,1972,0.0021275148358735,0.0098914672862247,0.0112090914767656,37.0,7.0,21.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,1972,0.0002766568199966,0.0002632011511056,0.069159314901134,36.0,4.0,16.0,0.0,0.0,0.0,0.0
Tunisia,1972,0.0005777633133943,0.0014059067599676,0.0263689144403544,37.0,5.0,11.0,0.0,1.0,0.0,1.0
Uganda,1972,0.0003829887348357,0.0028374688965037,0.0068441658058007,35.0,3.0,19.0,1.0,1.0,0.0,2.0
Uruguay,1972,0.0005652048755369,0.0007343841762953,0.0524466149477495,20.0,5.0,12.0,0.0,0.0,0.0,0.0
United States,1972,0.3336971933376726,0.0547381918984962,0.3963560239391624,574.0,21.0,184.0,69.0,59.0,43.0,171.0
Zambia,1972,0.0004825031702388,0.001190165212856,0.0230074743482724,12.0,2.0,12.0,0.0,0.0,0.0,0.0
Argentina,1976,0.0077972337390783,0.0063533510468458,0.0634114482341826,106.0,12.0,50.0,0.0,0.0,0.0,0.0
Australia,1976,0.0160140799993737,0.0033915473724126,0.2624983891076345,274.0,20.0,115.0,0.0,15.0,8.0,23.0
Austria,1976,0.0065198702889042,0.0018277504367631,0.1772545202716077,73.0,15.0,44.0,0.0,0.0,1.0,1.0
Belgium,1976,0.0108381572458189,0.0023724403635941,0.227748171075435,149.0,16.0,80.0,0.0,3.0,6.0,9.0
Belize,1976,1.0215291830435685e-05,3.063409642281172e-05,0.0192053267190698,4.0,2.0,4.0,0.0,0.0,0.0,0.0
Bermuda,1976,5.431054558434383e-05,1.1317412030199498e-05,0.3238980491940376,20.0,3.0,12.0,0.0,0.0,1.0,1.0
Brazil,1976,0.0233491150067146,0.0266473829242946,0.0340833044823217,89.0,12.0,47.0,0.0,0.0,3.0,3.0
Barbados,1976,6.187478421283784e-05,5.924872898893357e-05,0.0640470714485719,17.0,2.0,11.0,0.0,0.0,0.0,0.0
Canada,1976,0.0315982086918015,0.0056684754616593,0.2795025659219507,531.0,23.0,173.0,0.0,9.0,14.0,23.0
Switzerland,1976,0.010436038770026,0.0015223594813344,0.3412776325012199,101.0,12.0,41.0,1.0,3.0,6.0,10.0
Chile,1976,0.0015717430949267,0.0026190760916779,0.0297481887481518,9.0,4.0,8.0,0.0,0.0,0.0,0.0
Cameroon,1976,0.0004372835977951,0.0018355935101729,0.0140530323371077,4.0,1.0,1.0,0.0,0.0,0.0,0.0
Colombia,1976,0.0023345177644359,0.0057673697093022,0.0260878436137125,44.0,7.0,30.0,0.0,0.0,0.0,0.0
Costa Rica,1976,0.0003632540577553,0.0005177705123084,0.0425475059467195,10.0,4.0,9.0,0.0,0.0,0.0,0.0
Denmark,1976,0.0067808839747719,0.0012249750520894,0.2752139751733283,81.0,15.0,40.0,3.0,0.0,5.0,8.0
Dominican Republic,1976,0.0005978972007803,0.0012510423844005,0.0274828563528708,11.0,3.0,10.0,0.0,0.0,0.0,0.0
Ecuador,1976,0.0013816580764667,0.0017686044702429,0.036956614673388,8.0,4.0,8.0,0.0,0.0,0.0,0.0
Spain,1976,0.0180513864300732,0.0087363592609333,0.1013263856860163,160.0,14.0,68.0,0.0,6.0,0.0,6.0
Finland,1976,0.0048519449905265,0.0011410889607665,0.2097913952674356,108.0,14.0,63.0,4.0,2.0,0.0,6.0
Fiji,1976,0.000101308074179,0.000140030184785,0.0351426493786532,5.0,1.0,5.0,0.0,0.0,0.0,0.0
France,1976,0.0561788398496851,0.0131115187600723,0.2158218066367973,302.0,18.0,128.0,5.0,7.0,8.0,20.0
Greece,1976,0.0046792267146116,0.0022200914976421,0.1084709705286913,40.0,8.0,34.0,0.0,0.0,0.0,0.0
Guatemala,1976,0.0006609893882137,0.0015126635401642,0.0167035388747974,28.0,5.0,8.0,0.0,0.0,0.0,0.0
Honduras,1976,0.0002009411018287,0.0007950316322294,0.0128579814132073,3.0,1.0,2.0,0.0,0.0,0.0,0.0
Haiti,1976,0.0001294325990498,0.001255383312875,0.0046655716128749,14.0,2.0,14.0,0.0,0.0,0.0,0.0
India,1976,0.0156565374473613,0.1513281273170292,0.0026893856268768,26.0,5.0,10.0,0.0,0.0,0.0,0.0
Ireland,1976,0.0014368271186605,0.0007813927555814,0.0908779752493138,59.0,10.0,34.0,0.0,0.0,0.0,0.0
Iceland,1976,0.0002499584993896,5.168347693575915e-05,0.2373609873541888,22.0,4.0,22.0,0.0,0.0,0.0,0.0
Israel,1976,0.0024239526631118,0.0008527099089017,0.1368768197297345,34.0,10.0,19.0,0.0,0.0,0.0,0.0
Italy,1976,0.0343370303812682,0.0134707949690027,0.1259395043582332,312.0,20.0,122.0,2.0,25.0,4.0,31.0
Jamaica,1976,0.0004476443810939,0.000493060128173,0.0549346196971837,36.0,3.0,18.0,1.0,1.0,0.0,2.0
Japan,1976,0.0913073574673641,0.0272667748792699,0.1607743232106904,328.0,20.0,119.0,25.0,6.0,10.0,41.0
Kuwait,1976,0.0019976881543933,0.0002834568505082,0.3526447907355732,21.0,4.0,13.0,0.0,0.0,0.0,0.0
Luxembourg,1976,0.0005174060942593,8.567415827937652e-05,0.3018770391774592,9.0,4.0,7.0,0.0,0.0,0.0,0.0
Morocco,1976,0.0014567307683241,0.0042477840892422,0.0176517758371617,9.0,2.0,9.0,0.0,0.0,0.0,0.0
Mexico,1976,0.0135463386511529,0.0146621751565988,0.0597122662537798,137.0,17.0,54.0,1.0,0.0,1.0,2.0
Malaysia,1976,0.0016802424820535,0.0028395550236544,0.0269513604236778,25.0,5.0,9.0,0.0,0.0,0.0,0.0
Nicaragua,1976,0.0002754837761138,0.0007005854278226,0.0267213506815816,25.0,6.0,19.0,0.0,0.0,0.0,0.0
Netherlands,1976,0.0166648226910535,0.003328931661359,0.2500162472711143,175.0,11.0,58.0,0.0,2.0,12.0,14.0
Norway,1976,0.0054755354915765,0.0009719511253593,0.2799568190840016,79.0,11.0,44.0,2.0,4.0,0.0,6.0
Nepal,1976,0.0002169183039596,0.003426522639104,0.0009255228053352,1.0,1.0,1.0,0.0,0.0,0.0,0.0
New Zealand,1976,0.0020697424503758,0.0007505519252509,0.1382079331720593,98.0,13.0,52.0,15.0,1.0,9.0,25.0
Pakistan,1976,0.0020031508566103,0.0173158024082148,0.005375892888995,24.0,5.0,9.0,0.0,0.0,16.0,16.0
Panama,1976,0.0003900202838684,0.0004281038507721,0.0375479993741268,13.0,5.0,13.0,0.0,0.0,0.0,0.0
Peru,1976,0.0024550538499356,0.0037986823600885,0.0229107370762477,14.0,2.0,3.0,0.0,0.0,0.0,0.0
Philippines,1976,0.0029504441268154,0.0104443140474955,0.0117058628397948,22.0,6.0,21.0,0.0,0.0,0.0,0.0
Papua New Guinea,1976,0.000225922315581,0.0006941720825957,0.025264945967981,9.0,3.0,8.0,0.0,0.0,0.0,0.0
Puerto Rico,1976,0.0013628552978812,0.0007344373193848,0.0928468914698888,112.0,12.0,74.0,0.0,0.0,1.0,1.0
Portugal,1976,0.003095561632811,0.0022606306870832,0.0665422482327448,36.0,6.0,27.0,0.0,2.0,0.0,2.0
Paraguay,1976,0.0002544520891517,0.000665521664511,0.0196966521466915,6.0,4.0,6.0,0.0,0.0,0.0,0.0
Saudi Arabia,1976,0.009754366143732,0.0011609811149842,0.2409442114701288,19.0,1.0,13.0,0.0,0.0,0.0,0.0
Senegal,1976,0.00043296684431,0.001282030709098,0.0142449631100007,33.0,4.0,27.0,0.0,0.0,0.0,0.0
Singapore,1976,0.0009601019817307,0.0005529578323765,0.0825151147272362,4.0,4.0,4.0,0.0,0.0,0.0,0.0
Suriname,1976,7.248499001926171e-05,9.233751854789418e-05,0.0539146502007912,4.0,2.0,4.0,0.0,0.0,0.0,0.0
Sweden,1976,0.013600864673879,0.001986551334989,0.3403351454895178,163.0,16.0,90.0,9.0,1.0,0.0,10.0
Thailand,1976,0.0025851489927601,0.0101287766885924,0.0109791416084327,62.0,11.0,33.0,0.0,0.0,1.0,1.0
Trinidad and Tobago,1976,0.0003766515399058,0.0002562791999464,0.0758001189515314,20.0,3.0,10.0,1.0,0.0,0.0,1.0
Tunisia,1976,0.0006827761166129,0.001448488982908,0.0240054596856837,16.0,3.0,5.0,0.0,0.0,0.0,0.0
Uruguay,1976,0.0005545440214503,0.0006975729158266,0.041445745445269,15.0,5.0,9.0,0.0,0.0,0.0,0.0
United States,1976,0.2856345551842948,0.052718015965857,0.2754467703315533,554.0,19.0,189.0,70.0,58.0,36.0,164.0
Australia,1980,0.0130953667175843,0.0033091426095056,0.2372690559575173,190.0,17.0,92.0,6.0,2.0,5.0,13.0
Austria,1980,0.007134441673835,0.0016995844277389,0.2186015466370679,92.0,16.0,51.0,1.0,3.0,1.0,5.0
Belgium,1980,0.0110726846879726,0.002220093647221,0.2596333265498327,84.0,10.0,51.0,1.0,0.0,0.0,1.0
Benin,1980,0.0001183100830409,0.0008828848027566,0.0069046148032883,17.0,2.0,17.0,0.0,0.0,0.0,0.0
Brazil,1980,0.0207292249497277,0.0273121140534131,0.0281751818817581,149.0,14.0,72.0,4.0,0.0,5.0,9.0
Botswana,1980,8.823386565998572e-05,0.0002095998044493,0.0174246693783182,8.0,1.0,8.0,0.0,0.0,0.0,0.0
Switzerland,1980,0.0106996601640954,0.0014224016162193,0.3906901410670614,86.0,10.0,45.0,2.0,0.0,0.0,2.0
Cameroon,1980,0.0005785265521787,0.0019165456524065,0.0229981132377182,29.0,5.0,23.0,0.0,0.0,0.0,0.0
Colombia,1980,0.002912761056957,0.0058809182092718,0.0352628127082165,28.0,3.0,7.0,0.0,0.0,0.0,0.0
Costa Rica,1980,0.0004175502647386,0.000537062781376,0.0506687445376529,37.0,5.0,18.0,0.0,0.0,0.0,0.0
Denmark,1980,0.0061801582501067,0.001152800389229,0.2792886420515721,60.0,13.0,30.0,4.0,2.0,2.0,8.0
Dominican Republic,1980,0.0005861015398744,0.0012893631059291,0.0281973600890303,7.0,4.0,7.0,0.0,0.0,0.0,0.0
Algeria,1980,0.0036940158496584,0.0041914164957344,0.0446126236849427,63.0,9.0,28.0,0.0,0.0,0.0,0.0
Ecuador,1980,0.0015573285089418,0.0018384984181573,0.0434432813681995,16.0,5.0,13.0,0.0,0.0,0.0,0.0
Spain,1980,0.0203106968489505,0.0084468728629562,0.1244333663598891,211.0,18.0,75.0,2.0,19.0,3.0,24.0
Finland,1980,0.0046813085281867,0.0010753953947821,0.2257341295809795,125.0,16.0,71.0,3.0,1.0,5.0,9.0
France,1980,0.0606549891143533,0.0124542281636431,0.2562997427453667,200.0,13.0,85.0,18.0,5.0,6.0,29.0
Greece,1980,0.0048899850089659,0.0021712525496658,0.122407676448233,45.0,8.0,31.0,1.0,0.0,4.0,5.0
Guatemala,1980,0.0006836940481817,0.0015532842288994,0.019061537394872,10.0,5.0,7.0,0.0,0.0,0.0,0.0
Guyana,1980,4.825974158644673e-05,0.0001728416037221,0.0235563564826706,10.0,3.0,10.0,0.0,0.0,1.0,1.0
India,1980,0.01626935038001,0.1548917131198659,0.0045062683398083,78.0,8.0,30.0,16.0,0.0,0.0,16.0
Ireland,1980,0.0018950111119113,0.0007674053540087,0.1285642743488246,57.0,11.0,38.0,0.0,2.0,1.0,3.0
Iraq,1980,0.0045868965486331,0.0030612587777671,0.0250272277293573,44.0,5.0,26.0,0.0,0.0,0.0,0.0
Iceland,1980,0.0002909064082524,4.975037390688625e-05,0.298191518330146,12.0,3.0,11.0,0.0,0.0,0.0,0.0
Italy,1980,0.0417747602743682,0.0127155632010095,0.1701521435629022,203.0,19.0,88.0,8.0,21.0,8.0,37.0
Jamaica,1980,0.0002295910039896,0.00048185832679,0.0305049856293698,32.0,2.0,15.0,0.0,0.0,3.0,3.0
Kuwait,1980,0.0024968647146782,0.0003374386511611,0.3868714915860304,67.0,7.0,26.0,0.0,0.0,0.0,0.0
Libya,1980,0.0035724484473227,0.0007700144250372,0.259327226357742,38.0,5.0,20.0,0.0,0.0,0.0,0.0
Sri Lanka,1980,0.0003470830324388,0.0033442909291283,0.005694812116016,4.0,1.0,1.0,0.0,0.0,0.0,0.0
Lesotho,1980,3.326736427025706e-05,0.0003152958002087,0.0050274508055044,7.0,1.0,6.0,0.0,0.0,0.0,0.0
Luxembourg,1980,0.0005213402107828,8.040031074590304e-05,0.3332545677115847,4.0,3.0,4.0,0.0,0.0,0.0,0.0
Madagascar,1980,0.000449898097886,0.0020278250781946,0.0077204743091027,18.0,4.0,18.0,0.0,0.0,0.0,0.0
Mexico,1980,0.0179504498966544,0.0151642885841688,0.0733050365847601,74.0,12.0,43.0,0.0,1.0,9.0,10.0
Myanmar,1980,8.625436949437541e-05,0.0074860007683319,0.0026496772306111,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Nigeria,1980,0.0056028916905076,0.0166210027068787,0.0665791108584236,56.0,5.0,22.0,0.0,0.0,0.0,0.0
Nicaragua,1980,0.0001828577504802,0.0007312603232823,0.0164757620255545,6.0,3.0,6.0,0.0,0.0,0.0,0.0
Netherlands,1980,0.0170650079338665,0.0031869593039582,0.2779544389598891,112.0,10.0,56.0,0.0,1.0,5.0,6.0
Nepal,1980,0.0001655311567294,0.003503190295458,0.0017905734310271,10.0,3.0,9.0,0.0,0.0,0.0,0.0
New Zealand,1980,0.0020257305512861,0.0006998236990222,0.1489871322211566,7.0,2.0,5.0,0.0,0.0,0.0,0.0
Peru,1980,0.0015796287810319,0.0039105830579701,0.0183039434789017,38.0,5.0,26.0,0.0,0.0,0.0,0.0
Puerto Rico,1980,0.0012564102769038,0.0007208035325642,0.0910363359994191,3.0,1.0,3.0,0.0,0.0,0.0,0.0
Portugal,1980,0.0028687233921977,0.0021991521227198,0.0669643522303413,18.0,6.0,17.0,0.0,0.0,0.0,0.0
Senegal,1980,0.000389484889112,0.0013156388263462,0.0139909793385634,39.0,4.0,22.0,0.0,0.0,0.0,0.0
Sierra Leone,1980,9.170961760301404e-05,0.0007356965102114,0.0070774033354108,32.0,2.0,16.0,0.0,0.0,0.0,0.0
Sweden,1980,0.0123879214721136,0.0018710958063548,0.344264564190164,201.0,18.0,102.0,3.0,8.0,9.0,20.0
Seychelles,1980,9.27023574429404e-06,1.2595787280657904e-05,0.0541502827482758,21.0,2.0,15.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,1980,0.0005402078493682,0.0002511220724258,0.1169257234897338,15.0,1.0,5.0,0.0,0.0,0.0,0.0
Uganda,1980,0.0001042797977466,0.0029899924690938,0.0040205598884371,16.0,2.0,12.0,0.0,1.0,0.0,1.0
Zambia,1980,0.0003348476318924,0.0013059928352101,0.0143168999473078,43.0,4.0,25.0,0.0,0.0,0.0,0.0
Zimbabwe,1980,0.0005789020355552,0.0015850787046703,0.022736279063876,52.0,10.0,30.0,15.0,0.0,0.0,15.0
Argentina,1984,0.0094057217675884,0.0062641609876682,0.0911006970794099,115.0,14.0,70.0,0.0,0.0,0.0,0.0
Australia,1984,0.0155715911325076,0.0032671810377533,0.369471096246433,337.0,22.0,137.0,7.0,14.0,31.0,52.0
Austria,1984,0.005446241733813,0.0015848681213764,0.249737786214511,130.0,18.0,72.0,1.0,1.0,1.0,3.0
Belgium,1984,0.0067042428195171,0.0020661779521435,0.234237154277017,86.0,14.0,48.0,1.0,2.0,2.0,5.0
Benin,1984,8.054931209949698e-05,0.0009227787614769,0.0049830542215836,3.0,1.0,3.0,0.0,0.0,0.0,0.0
Bangladesh,1984,0.0015187724256619,0.0205216973700544,0.0031044503028959,2.0,1.0,2.0,0.0,0.0,0.0,0.0
Belize,1984,1.931846998471413e-05,3.192215320229651e-05,0.0385611703151311,13.0,3.0,7.0,0.0,0.0,0.0,0.0
Bermuda,1984,7.528292717814511e-05,9.91747456595121e-06,0.6533301883792456,13.0,5.0,10.0,0.0,0.0,0.0,0.0
Brazil,1984,0.0151542822608576,0.0278325796387323,0.0343975693987864,197.0,17.0,82.0,1.0,33.0,2.0,36.0
Barbados,1984,0.0001043529048703,5.182886014200469e-05,0.147445852468314,25.0,6.0,16.0,0.0,0.0,0.0,0.0
Botswana,1984,9.581614935703716e-05,0.0002257135549985,0.0223046952566461,8.0,2.0,6.0,0.0,0.0,0.0,0.0
Central African Republic,1984,4.728425462393499e-05,0.0005372830190371,0.006718445860767,3.0,2.0,3.0,0.0,0.0,0.0,0.0
Canada,1984,0.0287059955088196,0.0053711665422481,0.3882147065902991,572.0,23.0,193.0,19.0,36.0,32.0,87.0
Switzerland,1984,0.0088053120891875,0.0013499622233433,0.4739761761465495,245.0,18.0,91.0,0.0,9.0,4.0,13.0
Chile,1984,0.0015792100199504,0.0025597459887744,0.0472404003648227,64.0,8.0,25.0,0.0,0.0,0.0,0.0
Cameroon,1984,0.0005844430555818,0.001986385368045,0.0263606631080205,56.0,6.0,32.0,0.0,0.0,1.0,1.0
Colombia,1984,0.003074709216635,0.006008098286149,0.0500699803350024,48.0,8.0,34.0,0.0,1.0,0.0,1.0
Costa Rica,1984,0.0002905594059352,0.0005580518687612,0.0461576406369672,32.0,5.0,16.0,0.0,0.0,0.0,0.0
Denmark,1984,0.0047339462399772,0.0010708524666112,0.3211372981294853,74.0,11.0,33.0,0.0,3.0,10.0,13.0
Dominican Republic,1984,0.0009290799795365,0.0013178967643436,0.0554051082431863,24.0,7.0,20.0,0.0,0.0,1.0,1.0
Algeria,1984,0.0043178170170456,0.0044615872308625,0.0667986020864814,33.0,4.0,17.0,0.0,0.0,2.0,2.0
Ecuador,1984,0.0013571341797376,0.0019023960012806,0.0500928845304603,15.0,6.0,14.0,0.0,0.0,0.0,0.0
Spain,1984,0.0138375661296727,0.0080407481369588,0.1234528700796414,257.0,23.0,104.0,2.0,14.0,3.0,19.0
Finland,1984,0.0042512121854883,0.0010226328983109,0.3013112365994607,107.0,15.0,76.0,4.0,2.0,6.0,12.0
Fiji,1984,9.076003273409356e-05,0.0001466238617075,0.0440457008417528,26.0,5.0,22.0,0.0,0.0,0.0,0.0
France,1984,0.0422526382729023,0.0118285366863423,0.2619596120688205,354.0,21.0,139.0,20.0,16.0,31.0,67.0
Gabon,1984,0.000282589386373,0.0001732256560427,0.149268398908181,4.0,2.0,4.0,0.0,0.0,0.0,0.0
Ghana,1984,0.0003510673401491,0.0028037344949487,0.0145237093460513,27.0,2.0,17.0,0.0,0.0,0.0,0.0
Equatorial Guinea,1984,0.0,7.490445062349808e-05,0.0030885908643565,5.0,1.0,5.0,0.0,0.0,0.0,0.0
Greece,1984,0.0038070340180623,0.0020746606901896,0.1357910396763369,73.0,11.0,49.0,0.0,1.0,1.0,2.0
Guatemala,1984,0.00075813224537,0.00159939760873,0.0277449565289867,53.0,9.0,40.0,0.0,0.0,0.0,0.0
